AUROC,AUPRC,Brier,ECE,Precision,Recall,F1,F1_opt_th,Precision_opt_th,Recall_opt_th,opt_threshold,OOF_train_F1_at_opt_threshold,week,model,target,seed,AUROC_CI_low,AUROC_CI_high,n_features
0.7590703841464148,0.4339222256000233,0.16008938633949765,0.11283807344341579,0.4572405929304447,0.45234066553863506,0.4547774312446839,0.5017830920914621,0.39946559786239144,0.6745628877608573,0.4,0.5025691560498345,12,RandomForest,failure,42,0.747431578703361,0.770635871589425,83
0.7612554145869912,0.44136424003170227,0.19911594817879724,0.22021691799108958,0.3702451394759087,0.7411167512690355,0.49379932356257045,0.4943597862655848,0.3807926829268293,0.7044557247602933,0.525,0.503380413682308,12,XGBoost,failure,42,0.7503467985416077,0.7725177531128271,83
0.7649675160164209,0.4470167152772399,0.14470642806524886,0.011229698253124103,0.572354211663067,0.14946418499717992,0.2370304114490161,0.4998955067920585,0.39707835325365204,0.6745628877608573,0.25,0.505261690710154,12,Stable-Causal-Temporal,failure,42,0.7536508558528284,0.7760899335133257,75
0.7920362232269376,0.6663099171738004,0.18268886564631215,0.1447197693547681,0.5616925064599483,0.6876235666271253,0.6183111111111111,0.6183111111111111,0.5616925064599483,0.6876235666271253,0.5,0.6061217226242733,2,Logistic,dropout,77,0.7854206422458766,0.8010808311993532,82
0.7959129612509129,0.6865955666167597,0.16494982674355252,0.08789040850087104,0.6571294559099438,0.5539739027283511,0.6011585496674533,0.6185204709189949,0.5566097406704618,0.6959272439699487,0.4,0.6022384082430272,2,RandomForest,dropout,77,0.7866131505973254,0.8042140199508924,82
0.798671777487902,0.6935531409138763,0.1765541347749165,0.14016188743937633,0.5952983725135624,0.6508501383946224,0.6218360408009067,0.6218360408009067,0.5952983725135624,0.6508501383946224,0.5,0.609314930358606,2,XGBoost,dropout,77,0.7920263519370976,0.8074058211197471,82
0.7984030442595431,0.69593651039742,0.15493492641504863,0.014447128350454787,0.7599451303155007,0.43811783313562674,0.5558063707047906,0.6202485380116959,0.5766224940536867,0.6710162119414789,0.30000000000000004,0.6095179987797438,2,Stable-Causal-Temporal,dropout,77,0.7921817110320724,0.8069807997067859,75
0.6628214341569945,0.3352889507898758,0.23021777090357007,0.25692698504781375,0.30788110171802563,0.6367738296672307,0.41507352941176473,0.41507352941176473,0.30788110171802563,0.6367738296672307,0.5,0.41999015263417033,2,Logistic,failure,77,0.6517290898030599,0.678324019882504,82
0.667689166438442,0.3318301756272032,0.18223365238781528,0.14147093978236658,0.3705759888965996,0.3011844331641286,0.33229620410703176,0.4163845633039946,0.2974607013301088,0.6937394247038917,0.35,0.4240419708029197,2,RandomForest,failure,77,0.6559656009040031,0.6827167605663812,82
0.6797685341463087,0.35214023936373395,0.22362730331725034,0.250548936207209,0.3184606804238706,0.6441060349689791,0.4261989177085277,0.42346502479904224,0.30387825233186055,0.6982515510434292,0.475,0.4347423813103568,2,XGBoost,failure,77,0.6683422719962856,0.6946369604879893,82
0.6749062421050173,0.33305385164007195,0.16017052248894817,0.013478852855962582,0.36666666666666664,0.018612521150592216,0.03542673107890499,0.42023346303501946,0.32076032076032074,0.6091370558375635,0.225,0.4301341320484438,2,Stable-Causal-Temporal,failure,77,0.6622134454075213,0.689884646836225,75
0.8397110950694364,0.7543635533269046,0.1543884005513292,0.12921202797627745,0.6662908680947013,0.701067615658363,0.6832369942196532,0.6843718079673136,0.7079459002535926,0.6623171213918545,0.55,0.6673966602792225,4,Logistic,dropout,77,0.8317496854745636,0.8474360378891445,82
0.8426569234601049,0.7628423148905488,0.14034824463198364,0.07651643224536583,0.7313231323132313,0.6425464610517991,0.6840665123131973,0.6871485943775101,0.6980824153406773,0.6765519968366943,0.45000000000000007,0.671117166212534,4,RandomForest,dropout,77,0.8356796452954098,0.8517884420572178,82
0.8450829453077398,0.7687827093086244,0.1504488057019628,0.1252344938634853,0.6760726710475454,0.6915776986951364,0.6837372947615324,0.6846339501206757,0.6966844044207942,0.6729932779754844,0.525,0.6756756756756757,4,XGBoost,dropout,77,0.8377634672348387,0.8536646310138947,82
0.8461132711085217,0.7745761751216501,0.13187142453619227,0.015593474370911568,0.8034330011074197,0.5737445630684065,0.6694348327566321,0.6875262494750105,0.7330944917151814,0.6472914195334124,0.375,0.6758935578226439,4,Stable-Causal-Temporal,dropout,77,0.8389263504180873,0.8552549628786177,75
0.6928889338261572,0.3651012824644683,0.22276037527934844,0.24851996602713228,0.3283964682426659,0.6503102086858432,0.4364118092354277,0.43528586460890917,0.3158564520234156,0.6999435984207558,0.475,0.4391740412979351,4,Logistic,failure,77,0.6804764242423889,0.7082588425747295,82
0.7088319335551183,0.37027745136226586,0.17237774374831263,0.1265399383886089,0.40843123704215617,0.3333333333333333,0.3670807453416149,0.45024971187091817,0.34139236819108654,0.6610265087422448,0.375,0.4532885385708748,4,RandomForest,failure,77,0.695012725071142,0.7227337829755198,82
0.7129288324590027,0.38229869202980504,0.21467843168708012,0.2395462296438672,0.3339763020115734,0.6835871404399323,0.44872269529803777,0.4485456369107322,0.3480697384806974,0.6305696559503666,0.525,0.4565689467969598,4,XGBoost,failure,77,0.7006941150742849,0.7258912775781698,82
0.711693986402761,0.3750476482642358,0.1547771465065658,0.01579262583234773,0.5263157894736842,0.050761421319796954,0.09259259259259259,0.4494252873563218,0.34029590948651,0.6615905245346869,0.225,0.45472012296656844,4,Stable-Causal-Temporal,failure,77,0.6979103604466115,0.7251877051855153,75
0.853657677700243,0.7724789054748493,0.14644116908137064,0.12176337689569101,0.6876190476190476,0.7137208382759984,0.7004268529297633,0.7017474185861795,0.704826485839649,0.6986951364175563,0.525,0.6891380797558224,6,Logistic,dropout,77,0.8468857767459524,0.8615833979183403,82
0.8564696847529513,0.780861549511177,0.13348268833843682,0.07153222935158784,0.7572148419606046,0.6536180308422301,0.7016129032258065,0.7039432505737534,0.7451413427561837,0.6670620798734678,0.475,0.6911599099099099,6,RandomForest,dropout,77,0.8497498810294868,0.864847253173664,82
