train_module,test_module,target,baseline_AUROC,stable_causal_AUROC,baseline_AUPRC,stable_causal_AUPRC,baseline_ECE,stable_causal_ECE,baseline_Brier,stable_causal_Brier,AUROC_delta,AUPRC_delta,ECE_delta,Brier_delta
BBB,DDD,dropout,0.8629431460301674,0.8555971048124206,0.8107490853957773,0.8041470901396659,0.035153906500027574,0.11136721580386555,0.13802499701852697,0.15586353782104156,-0.007346041217746846,-0.0066019952561113815,0.07621330930383798,0.017838540802514596
BBB,DDD,failure,0.7126157771715689,0.7115532356404248,0.3795786726821816,0.37728156500112964,0.19908917361569864,0.04421144450739344,0.20650344754336,0.16105571396635804,-0.0010625415311440456,-0.0022971076810519575,-0.1548777291083052,-0.045447733577001964
BBB,EEE,dropout,0.8929604574394012,0.8888419625011896,0.7893495026888373,0.7788782474342573,0.047481361796746765,0.05676396235047412,0.09896639217388198,0.10271134924700914,-0.004118494938211592,-0.010471255254580036,0.009282600553727358,0.003744957073127164
BBB,EEE,failure,0.755706402693344,0.7295711233669201,0.3956930111024958,0.3623683235341414,0.09271681493804641,0.05761853818841284,0.14783271301314396,0.14181931585789898,-0.0261352793264239,-0.03332468756835438,-0.035098276749633575,-0.006013397155244987
BBB,FFF,dropout,0.8634854329705582,0.8449559264454295,0.7956093723795815,0.7757573052216717,0.03831031611034466,0.0779077541102319,0.12766619771373156,0.1386497728792913,-0.018529506525128747,-0.01985206715790977,0.03959743799988724,0.010983575165559756
BBB,FFF,failure,0.7280743236358092,0.7119918062531216,0.4215262384396955,0.40200381387606243,0.07194536550609308,0.09191918981220074,0.16367148325066974,0.16479331653366658,-0.01608251738268751,-0.019522424563633067,0.019973824306107654,0.001121833282996837
BBB,GGG,dropout,0.7502069764031626,0.7254736781005218,0.3789467577311044,0.32899825639360053,0.5806199682210501,0.39721052399769907,0.4277669056503611,0.25129922203245464,-0.024733298302640816,-0.04994850133750389,-0.18340944422335104,-0.17646768361790643
BBB,GGG,failure,0.5604897594100252,0.5477715460065958,0.3518264849879038,0.3298003542545386,0.345084689228245,0.13837202929723166,0.3321186346955815,0.22565558259286703,-0.01271821340342938,-0.022026130733365235,-0.20671265993101332,-0.10646305210271448
CCC,AAA,dropout,0.7946843260348083,0.7839789720818658,0.577650605361,0.553410709324435,0.11431073908131312,0.06266254744489431,0.13082141853502588,0.11876446631029702,-0.010705353952942476,-0.024239896036564956,-0.0516481916364188,-0.012056952224728856
CCC,AAA,failure,0.6697275327412313,0.6449562613946176,0.23476032757867277,0.21337612198637443,0.3248956881657761,0.05243734042114138,0.21660899515010337,0.10980692941069553,-0.02477127134661372,-0.02138420559229834,-0.2724583477446347,-0.10680206573940784
CCC,BBB,dropout,0.8756694403005791,0.870793015976459,0.7932466209043316,0.7825239537258847,0.17831866071829267,0.1497134276135404,0.1635808428891803,0.15732385153334538,-0.0048764243241201655,-0.010722667178446943,-0.02860523310475227,-0.006256991355834907
CCC,BBB,failure,0.6789072962339884,0.682039726842026,0.3587101029957357,0.37185640559384003,0.11429409243478261,0.09537372703226281,0.18490241303102686,0.17155138285340285,0.003132430608037584,0.013146302598104342,-0.018920365402519804,-0.013351030177624013
CCC,DDD,dropout,0.855522459804409,0.8524880380131499,0.798123013383822,0.7956708816439214,0.055362337862250706,0.06367946945957101,0.14528451350483879,0.14478197066737108,-0.003034421791259123,-0.0024521317399005538,0.008317131597320303,-0.000502542837467701
CCC,DDD,failure,0.7139312215110926,0.6973841936837687,0.3972170709354318,0.37186117709112465,0.10655086993641333,0.10325412713456529,0.17273569776144823,0.172644819140765,-0.016547027827323868,-0.025355893844307142,-0.0032967428018480377,-9.087862068324348e-05
